CD_SETOR,CD_SIT,NM_SIT,CD_UF,NM_UF,SIGLA_UF,CD_MUN,NM_MUN,CD_DIST,NM_DIST,CD_SUBDIST,NM_SUBDIST,geometry
250750705000011,1,Área Urbana de Alta Densidade de Edificações,25,Paraíba,PB,2507507,João Pessoa,250750705,João Pessoa,25075070500,,"POLYGON ((-34.870971219 -7.14117306099996, -34.8714179999999 -7.14150199999995, -34.871809 -7.14165799999995, -34.8711429849999 -7.14433698899995, -34.8716728799999 -7.14452696999996, -34.87232304 -7.14470201999995, -34.8729761889999 -7.14494246199996, -34.8736041509999 -7.14518098999997, -34.874235439 -7.14542681699993, -34.87443912 -7.14480101999993, -34.8746720419999 -7.14407369699995, -34.874871449 -7.14358696799997, -34.8743695489999 -7.14338061399997, -34.8741143569999 -7.14327508099996, -34.874067446 -7.14321627699996, -34.874501161 -7.14194510799996, -34.874487562 -7.14158209999994, -34.8740681629999 -7.14171300499993, -34.8739714339999 -7.14164322699997, -34.873760849 -7.14070393999998, -34.873618326 -7.14075197499994, -34.8735249709999 -7.14078343799997, -34.873358459 -7.14078175699996, -34.873193139 -7.14084086499997, -34.8730688749999 -7.14089360199995, -34.872931298 -7.14093549099994, -34.872740694 -7.14099455299993, -34.8725670069999 -7.14101594799996, -34.872383467 -7.14104711099998, -34.8720095809999 -7.14105898999998, -34.871768571 -7.14106165199996, -34.8715836019999 -7.14106899299998, -34.871406839 -7.14109901299997, -34.8711742899999 -7.14113913599994, -34.871031 -7.14116195999998, -34.870971219 -7.14117306099996))"
250750705000012,1,Área Urbana de Alta Densidade de Edificações,25,Paraíba,PB,2507507,João Pessoa,250750705,João Pessoa,25075070500,,"POLYGON ((-34.869715905 -7.14551771599997, -34.86976308 -7.14551696999996, -34.8710082969999 -7.14580725099995, -34.87197312 -7.14600701999996, -34.87232304 -7.14470201999995, -34.8716728799999 -7.14452696999996, -34.8711429849999 -7.14433698899995, -34.8704074899999 -7.14404095799995, -34.869688862 -7.14383788899994, -34.869497005 -7.14455881899994, -34.8695315429999 -7.14503564899996, -34.869715905 -7.14551771599997))"
250750705000013,1,Área Urbana de Alta Densidade de Edificações,25,Paraíba,PB,2507507,João Pessoa,250750705,João Pessoa,25075070500,,"POLYGON ((-34.867595427 -7.15653922399997, -34.8676185749999 -7.15655163699995, -34.8679828799999 -7.15674698999993, -34.8683731199999 -7.15591196999998, -34.86886308 -7.15483700999994, -34.86922308 -7.15398695999994, -34.86943296 -7.15405697999995, -34.8696478799999 -7.15417199999996, -34.87001796 -7.15435703999998, -34.8704830799999 -7.15282703999998, -34.87058316 -7.15250195999994, -34.8708481199999 -7.15161698999998, -34.8709381199999 -7.15132700999993, -34.87036284 -7.15108202999994, -34.8697979999999 -7.15076198999998, -34.86966804 -7.15071698999998, -34.8692379629999 -7.15057959599994, -34.869222048 -7.15094355699995, -34.869226199 -7.15100455299995, -34.869440684 -7.15104567699996, -34.869423097 -7.15113605199997, -34.8693676839999 -7.15142080699997, -34.8692830969999 -7.15180657099995, -34.869194079 -7.15222219299994, -34.869162375 -7.15237403699996, -34.869074451 -7.15266843399996, -34.868976677 -7.15299357999993, -34.8689419679999 -7.15326187299996, -34.8688669549999 -7.15360592399998, -34.868791761 -7.15382008999995, -34.868651311 -7.15429798699995, -34.8685256109999 -7.15471823299993, -34.868399143 -7.15495876399996, -34.868176967 -7.15531615999993, -34.868035151 -7.15580911799998, -34.868052841 -7.15588037899994, -34.86801953 -7.15595492599994, -34.867921764 -7.15596800899993, -34.8677463609999 -7.15625179999995, -34.867612349 -7.15650700099997, -34.867595427 -7.15653922399997))"
250750705000014,1,Área Urbana de Alta Densidade de Edificações,25,Paraíba,PB,2507507,João Pessoa,250750705,João Pessoa,25075070500,,"POLYGON ((-34.8662470479999 -7.15970760199997, -34.866543415 -7.16004063899993, -34.866696664 -7.16024527799993, -34.866985572 -7.15993806499995, -34.867616428 -7.15931487699993, -34.868266895 -7.15872275499993, -34.868680895 -7.15829846099996, -34.86902292 -7.15728698999993, -34.86858804 -7.15706198999993, -34.8679828799999 -7.15674698999993, -34.8676185749999 -7.15655163699995, -34.867588554 -7.15661262099997, -34.867540412 -7.15670782699993, -34.8675874909999 -7.15674799599998, -34.867468688 -7.15707708599996, -34.867327931 -7.15729177399993, -34.867198351 -7.15750542699993, -34.8670070379999 -7.15789889299998, -34.866910377 -7.15806931999998, -34.866713158 -7.15852068899994, -34.866610797 -7.15874382799996, -34.8664737559999 -7.15914034499997, -34.8662470479999 -7.15970760199997))"
250750705000015,1,Área Urbana de Alta Densidade de Edificações,25,Paraíba,PB,2507507,João Pessoa,250750705,João Pessoa,25075070500,,"POLYGON ((-34.8679828799999 -7.15674698999993, -34.86858804 -7.15706198999993, -34.86902292 -7.15728698999993, -34.86956292 -7.15570100999997, -34.87001796 -7.15435703999998, -34.8696478799999 -7.15417199999996, -34.86943296 -7.15405697999995, -34.86922308 -7.15398695999994, -34.86886308 -7.15483700999994, -34.8683731199999 -7.15591196999998, -34.8679828799999 -7.15674698999993))"
250750705000016,1,Área Urbana de Alta Densidade de Edificações,25,Paraíba,PB,2507507,João Pessoa,250750705,João Pessoa,25075070500,,"POLYGON ((-34.87001796 -7.15435703999998, -34.870683937 -7.15462918999998, -34.871240266 -7.15486458299995, -34.871217063 -7.15490653199993, -34.8717475949999 -7.15523794599994, -34.87205433 -7.15492551999995, -34.872834309 -7.15415832599996, -34.8722824349999 -7.15384383099996, -34.8716970629999 -7.15355502299997, -34.871123901 -7.15326829899993, -34.871622692 -7.15175572099997, -34.8715824829999 -7.15167586199993, -34.87101075 -7.15140715499996, -34.8709381199999 -7.15132700999993, -34.8708481199999 -7.15161698999998, -34.87058316 -7.15250195999994, -34.8704830799999 -7.15282703999998, -34.87001796 -7.15435703999998))"
250750705000019,1,Área Urbana de Alta Densidade de Edificações,25,Paraíba,PB,2507507,João Pessoa,250750705,João Pessoa,25075070500,,"POLYGON ((-34.8661504899999 -7.15960230899998, -34.866401157 -7.15871022799996, -34.867413311 -7.15646252999994, -34.867421421 -7.15644591599994, -34.868193936 -7.15483643199997, -34.868571646 -7.15376647099993, -34.8687737029999 -7.15258004999993, -34.8688754569999 -7.15219530899998, -34.868992007 -7.15188045799994, -34.869119129 -7.15137254999996, -34.869146288 -7.15093277899996, -34.8691539559999 -7.15067501499993, -34.869157581 -7.15055316799993, -34.869153347 -7.15034470299997, -34.869190197 -7.14976037099996, -34.869424513 -7.14876771699994, -34.8691505359999 -7.14865824999993, -34.86902408 -7.14972633299993, -34.868985836 -7.15076537099998, -34.868921558 -7.15140705499994, -34.868365884 -7.15369875499994, -34.868005023 -7.15475158599997, -34.866575616 -7.15767976499995, -34.866137105 -7.15861669499998, -34.865808756 -7.15967534099997, -34.8659906679999 -7.15980113599994, -34.8661504899999 -7.15960230899998))"
250750705000020,1,Área Urbana de Alta Densidade de Edificações,25,Paraíba,PB,2507507,João Pessoa,250750705,João Pessoa,25075070500,,"POLYGON ((-34.8774939159999 -7.13166085199992, -34.8774951139999 -7.13193883799994, -34.8774951139999 -7.13213863699997, -34.877487355 -7.13242184799998, -34.8786822719999 -7.13234619599996, -34.8788549139999 -7.13234037599995, -34.8788773119999 -7.13298473199995, -34.88026788 -7.13258702999997, -34.88030316 -7.13226203999994, -34.88038812 -7.13165696999994, -34.878878044 -7.13162207899995, -34.87887288 -7.13162195999996, -34.8774939159999 -7.13166085199992))"
250750705000021,1,Área Urbana de Alta Densidade de Edificações,25,Paraíba,PB,2507507,João Pessoa,250750705,João Pessoa,25075070500,,"POLYGON ((-34.878868605 -7.13019828699993, -34.878854002 -7.13094567399997, -34.878878044 -7.13162207899995, -34.88038812 -7.13165696999994, -34.88030316 -7.13226203999994, -34.88026788 -7.13258702999997, -34.88093316 -7.13238200999996, -34.8814788779999 -7.13221323799996, -34.8815590469999 -7.13194692399998, -34.881676147 -7.13162623299996, -34.8818146359999 -7.13124022999995, -34.8819472329999 -7.13096325099997, -34.882073122 -7.13073997499993, -34.882103402 -7.13068627199993, -34.882232788 -7.13044296699996, -34.88224164 -7.13042632099996, -34.882470118 -7.13021184799993, -34.8822153199999 -7.13020871999993, -34.8805383719999 -7.13022850899995, -34.87890312 -7.13019698999994, -34.878868605 -7.13019828699993))"
250750705000022,1,Área Urbana de Alta Densidade de Edificações,25,Paraíba,PB,2507507,João Pessoa,250750705,João Pessoa,25075070500,,"POLYGON ((-34.877445327 -7.13021813399996, -34.878868605 -7.13019828699993, -34.87890312 -7.13019698999994, -34.8805383719999 -7.13022850899995, -34.880694155 -7.12913418099993, -34.87887288 -7.12915199999998, -34.87899312 -7.12851200999995, -34.8774407459999 -7.12860117099996, -34.877455487 -7.12915668399995, -34.877445327 -7.13021813399996))"
